time,X_value,Y_value,Z_value
48.282,-5.80780,2.13241,-2.38638
48.400,-5.81328,2.24765,-2.38947
48.467,-5.73135,2.21440,-2.36679
48.581,-5.76890,2.22965,-2.37716
48.724,-5.99828,2.27518,-2.40810
48.760,-6.05893,2.36139,-2.42252
48.880,-6.04198,2.41713,-2.41731
49.001,-6.03309,2.58738,-2.41711
49.065,-5.92235,2.57499,-2.39174
49.182,-5.83721,2.65434,-2.37876
49.301,-5.87124,2.96606,-2.39312
49.380,-5.88646,3.09561,-2.39897
49.493,-5.98460,3.08271,-2.56901
49.639,-6.21829,2.96295,-2.74848
49.661,-6.23254,3.01178,-2.77376
49.783,-6.11307,3.21959,-2.75909
49.904,-6.26310,3.64986,-2.85686
49.962,-6.36837,3.83747,-2.87926
50.081,-6.46838,4.03459,-2.90792
50.202,-6.49432,4.37721,-2.89387
50.288,-6.61322,4.67232,-2.92717
50.427,-6.76309,5.09688,-2.97828
50.505,-6.82176,5.27040,-2.89161
50.563,-6.83745,5.26144,-2.73053
50.685,-6.72235,5.52143,-2.62263
50.814,-6.76624,6.04537,-2.63753
50.862,-6.76948,6.28747,-2.64259
50.982,-6.69594,6.74164,-2.62786
51.102,-6.76109,7.06173,-2.65520
51.171,-6.91555,7.17239,-2.70671
51.283,-7.16754,7.62080,-2.75455
51.403,-7.41029,8.25464,-2.49572
51.484,-7.48458,8.51051,-2.33397
51.583,-7.55037,8.84446,-2.07162
51.742,-7.54982,8.96599,-2.03958
51.763,-7.59589,9.02952,-2.05195
51.884,-7.62514,9.33606,-2.06503
52.005,-7.69628,9.69666,-2.14994
52.064,-7.65112,9.79236,-2.14196
52.184,-7.65871,9.99650,-2.15054
52.303,-7.58156,10.14411,-2.12859
52.364,-7.72693,10.24848,-2.17767
52.531,-7.81436,10.55248,-2.21202
52.607,-7.79992,10.50601,-2.20634
52.665,-7.76003,10.45976,-2.19260
52.791,-7.70606,10.40045,-2.17395
52.907,-7.72174,10.27512,-2.15663
52.964,-7.67139,10.26892,-2.10588
53.085,-7.58179,10.02560,-1.69810
53.204,-7.52560,9.95634,-1.20796
53.316,-7.51125,10.03572,-1.12816
53.404,-7.40509,10.06733,-1.06000
53.514,-7.13564,9.91636,-1.15317
53.565,-7.01359,9.88570,-1.23129
53.687,-7.08738,9.88128,-1.29837
53.816,-7.17596,9.90883,-1.51147
53.865,-7.15276,9.90376,-1.62046
53.985,-7.02944,9.54780,-1.63371
54.106,-6.91237,8.94932,-1.89473
54.170,-6.88106,8.74570,-1.92264
54.308,-6.94831,8.60230,-1.99619
54.406,-7.10243,8.78505,-2.05281
54.470,-7.13738,8.79724,-2.06402
54.629,-7.24295,8.69976,-2.09343
54.724,-7.12207,8.35155,-2.05274
54.766,-7.02731,8.24822,-2.02366
54.886,-6.79482,8.26856,-2.06021
55.008,-6.60938,8.26705,-2.21971
55.066,-6.54834,8.22940,-2.22015
55.187,-6.34640,8.01236,-2.16679
55.321,-6.30283,7.73131,-2.15081
55.378,-6.27540,7.67084,-2.14191
55.518,-6.45890,7.52700,-2.19251
55.607,-6.56565,7.38140,-2.23436
55.667,-6.63567,7.36275,-2.26756
55.787,-6.74641,7.26355,-2.29341
55.910,-6.55429,7.51285,-2.48539
55.968,-6.68006,7.21985,-2.62851
56.087,-6.78732,6.41743,-2.69607
56.207,-6.94523,6.24832,-2.80038
56.298,-7.26165,6.13734,-2.90028
56.387,-7.54871,5.79778,-2.73934
56.510,-7.51805,5.62776,-2.28678
56.568,-7.59112,5.57789,-2.22630
56.696,-7.62719,5.44316,-2.08272
56.816,-7.62325,5.17020,-1.83795
56.868,-7.51006,5.02674,-1.78265
56.988,-7.26197,4.65448,-1.69723
57.108,-6.95786,4.37355,-1.71751
57.169,-6.74644,4.33731,-1.82795
57.293,-6.31362,4.21795,-1.78171
57.408,-5.99879,3.96961,-1.69785
57.468,-5.80738,3.87423,-1.64288
57.614,-5.61941,3.64305,-1.75927
57.746,-5.58563,3.52899,-1.89435
57.771,-5.59180,3.46447,-1.93238
57.889,-5.53638,3.35355,-2.23100
58.009,-5.72722,3.25103,-2.37135
58.073,-5.73468,3.27836,-2.36983
58.190,-5.99513,3.09099,-2.28831
58.309,-6.17261,2.94559,-2.08006
58.399,-6.22061,2.97312,-2.06424
58.499,-6.34594,3.11730,-2.08691
58.643,-6.42216,3.13851,-2.10661
58.670,-6.40923,3.08512,-2.00021
58.792,-6.21156,3.02178,-1.77389
58.910,-5.96328,3.11694,-1.93771
58.973,-5.82812,3.15654,-2.05503
59.090,-5.71206,3.33218,-2.36590
59.211,-5.60198,3.51156,-2.46213
59.270,-5.62064,3.62724,-2.48099
59.438,-5.72002,3.83318,-2.50772
59.510,-5.78072,3.96300,-2.50250
59.571,-5.84253,4.01073,-2.51986
59.691,-6.22040,4.18736,-2.60197
59.812,-6.37613,4.40519,-2.66029
59.870,-6.48280,4.51706,-2.69653
59.991,-6.70648,4.81090,-2.77013
60.138,-6.65473,4.99707,-2.44319
60.178,-6.66726,5.11230,-2.40708
60.292,-6.67252,5.42398,-2.39461
60.361,-6.73600,5.52032,-2.39412
60.473,-6.84103,5.91440,-2.15867
60.602,-6.80482,6.27374,-2.10097
60.722,-6.97029,6.62558,-2.15092
60.772,-6.87548,6.76154,-2.12344
60.892,-6.76182,6.99214,-2.09195
61.012,-6.95422,7.34064,-2.15676
61.073,-6.97838,7.47085,-2.17321
61.195,-7.06728,7.61549,-2.20919
61.312,-7.12349,7.51542,-2.22553
61.375,-7.08957,7.45121,-2.21391
61.496,-7.16660,7.43159,-2.23751
61.636,-7.32303,7.61029,-2.28913
61.672,-7.31874,7.68214,-2.28903
61.792,-7.31877,7.80330,-2.29137
61.914,-7.24279,7.90256,-2.26943
61.974,-7.29304,8.03629,-2.28750
62.094,-7.40938,8.27062,-2.32810
62.213,-7.45333,8.50229,-2.34623
62.284,-7.45328,8.67796,-2.34961
62.445,-7.53520,9.02719,-2.38193
62.533,-7.57920,9.27476,-2.40089
62.573,-7.55692,9.36625,-2.39563
62.696,-7.51870,9.56067,-2.38755
62.815,-7.48411,9.85477,-2.38268
62.874,-7.50484,10.05047,-2.39322
62.994,-7.47207,10.39913,-2.39025
63.058,-7.47898,10.56110,-2.39583
63.198,-7.38879,10.86281,-2.37351
63.331,-7.46894,11.12423,-2.40472
63.355,-7.45241,11.24402,-2.40214
63.474,-7.35022,11.50129,-2.37518
63.594,-7.37404,11.76336,-2.43561
63.655,-7.37948,11.96265,-2.44621
63.775,-7.57097,12.32669,-2.85386
63.895,-7.77325,12.81842,-2.97674
63.987,-7.88753,13.07046,-3.02544
64.094,-7.99740,13.47113,-3.04464
64.258,-7.86593,13.82280,-2.98681
