time,X_value,Y_value,Z_value
5.494,0.10029,-0.43464,0.16474
5.494,0.28905,-0.46294,0.66323
5.529,0.13495,-0.58620,0.24275
5.529,0.13495,-0.58620,0.24275
5.529,0.04357,0.91538,1.41428
5.535,0.74791,-0.72522,-0.45072
5.542,1.24965,-0.67085,1.29537
5.557,0.94272,-0.15468,0.04473
5.563,0.48291,0.08547,0.61939
5.578,-1.04006,-0.59895,-1.36950
5.583,-0.32983,1.25074,0.03290
5.606,0.88110,0.23592,-1.34833
5.606,0.88110,0.23592,-1.34833
5.610,-0.01647,-0.29555,-2.09009
5.642,-0.25754,-0.04619,0.64098
5.642,-0.25754,-0.04619,0.64098
5.646,-0.11772,0.32363,-0.38401
5.663,0.83737,1.33034,0.90228
5.668,0.08157,-0.99651,-1.57703
5.686,-0.75760,1.09727,1.07432
5.686,-1.67524,-0.00561,0.54407
5.703,-0.40532,0.15909,-1.93228
5.715,0.87425,1.44062,2.43807
5.731,0.92951,-0.17826,-1.12509
5.736,-0.14483,1.08159,1.54128
5.754,-0.82570,-0.58615,-1.21147
5.755,-0.82570,-0.58615,-1.21147
5.770,0.81159,0.52719,-0.05375
5.802,1.22943,0.17714,0.61337
5.802,0.19973,-0.51645,-0.73726
5.803,-0.52596,0.19328,0.23309
5.814,0.07040,0.54349,0.33737
5.830,0.63295,0.18107,-0.48728
5.835,-0.30238,0.13627,0.64107
5.851,-1.41281,-0.05795,0.47505
5.860,-2.15034,0.57907,-0.90638
5.875,-1.26858,1.07297,-0.93572
5.885,0.77074,-0.15885,0.62453
5.909,0.48097,-0.07566,1.35694
5.909,-0.18890,-0.49416,-4.16385
5.930,-0.21033,1.20065,-0.27990
5.930,-0.21033,1.20065,-0.27990
5.930,1.16858,2.54431,-0.86442
5.950,0.34254,2.10872,1.22512
5.950,0.34254,2.10872,1.22512
5.955,-1.30754,-0.52948,0.60721
5.973,-1.22153,-0.51406,0.60588
5.982,1.19379,-0.52225,0.73086
6.000,2.18882,0.38150,3.25492
6.006,1.75886,-1.31616,-0.98160
6.023,0.13293,-1.48522,-4.32462
6.035,-0.80860,-0.81446,-1.69565
6.055,0.00700,0.08815,0.12401
6.055,0.58088,0.54976,0.50705
6.073,-0.45670,0.00888,0.13319
6.073,-0.45670,0.00888,0.13319
6.086,-0.83581,-0.05221,-0.95372
6.097,-0.11887,-0.29206,-1.37955
6.104,-0.09843,0.41731,0.76550
6.120,0.17346,0.36161,0.17182
6.124,-0.64546,-0.33963,0.42605
6.141,-0.66264,-0.00016,0.37462
6.147,1.17020,0.15116,-0.11350
6.181,1.24845,0.19877,-0.76965
6.181,1.24845,0.19877,-0.76965
6.182,0.45715,-0.34494,-1.82804
6.197,0.50049,-0.32787,-1.82681
6.197,0.50049,-0.32787,-1.82681
6.198,0.49318,-0.33401,-1.82714
6.220,1.74073,0.32115,-0.86541
6.222,2.58458,-0.23098,-0.60701
6.238,-0.40150,0.24186,-0.36273
6.246,-1.03172,-0.04725,-0.01289
6.263,0.44310,0.23001,0.95016
6.272,0.81590,-0.09190,-0.53882
6.289,-1.17111,0.11941,-0.02581
6.301,-2.09378,-0.05231,-0.10192
6.329,0.48087,-1.24718,-0.32584
6.329,2.16149,-1.04154,-2.05474
6.336,1.50653,-0.63194,-0.83329
6.342,-0.98239,0.07565,0.37855
6.359,-1.29285,-0.00282,0.39830
6.365,0.42042,-0.38200,0.08249
6.379,0.39132,-0.39426,0.08153
6.384,0.76021,-0.41365,0.91957
6.407,0.01233,-0.54945,-1.43045
6.407,0.01233,-0.54945,-1.43045
6.412,0.13483,0.26502,2.05529
6.436,2.69809,-0.51468,-0.77896
6.436,2.69809,-0.51468,-0.77896
6.436,1.71729,0.02141,1.76904
6.454,1.68587,0.02732,1.76953
6.460,-0.79031,0.23601,0.18461
6.469,0.12299,-0.19910,-0.84013
6.476,0.94669,-0.04893,0.19452
6.492,0.02342,-1.14449,-1.18359
6.498,-0.22260,0.44035,0.18666
6.517,-0.23777,0.49106,0.00807
6.524,-0.01972,-0.38632,-2.57722
6.541,1.25833,1.36805,1.36742
6.547,-0.32484,0.08819,-0.25062
6.568,-0.31328,0.05264,-0.25245
6.568,-0.50002,1.17313,1.70122
6.573,-0.03082,-0.95866,-3.24937
6.594,1.02325,0.56511,0.60976
6.594,1.02325,0.56511,0.60976
6.596,0.07411,-1.02149,-0.64421
6.614,1.02191,-0.19433,1.55482
6.627,0.73908,-0.28615,0.76114
6.640,0.98927,-1.16120,-0.28001
6.649,1.16991,-1.25657,-2.14567
